question_id,prompt_variant,subject,consistency_score,perm_accuracy,content_stability,raw_bias_fraction
abstract_algebra_0,anchored,abstract_algebra,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5
abstract_algebra_1,anchored,abstract_algebra,0.3333333333333333,0.25,0.3333333333333333,0.5
abstract_algebra_2,anchored,abstract_algebra,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.5
abstract_algebra_3,anchored,abstract_algebra,0.75,0.75,0.75,0.4166666666666667
abstract_algebra_4,anchored,abstract_algebra,0.5,0.5,0.5,0.25
abstract_algebra_5,anchored,abstract_algebra,0.4166666666666667,0.25,0.4166666666666667,0.75
abstract_algebra_6,anchored,abstract_algebra,0.5,0.5,0.5,0.6666666666666666
abstract_algebra_7,anchored,abstract_algebra,0.75,0.08333333333333333,0.75,0.4166666666666667
college_mathematics_0,anchored,college_mathematics,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.6666666666666666
college_mathematics_1,anchored,college_mathematics,0.0,0.0,0.0,0.0
college_mathematics_2,anchored,college_mathematics,0.0,0.0,0.0,0.0
college_mathematics_3,anchored,college_mathematics,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.75
college_mathematics_4,anchored,college_mathematics,0.5,0.4166666666666667,0.5,0.5
college_mathematics_5,anchored,college_mathematics,0.4166666666666667,0.25,0.4166666666666667,0.75
college_mathematics_6,anchored,college_mathematics,0.75,0.0,0.75,0.4166666666666667
college_mathematics_7,anchored,college_mathematics,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.3333333333333333
logical_fallacies_0,anchored,logical_fallacies,1.0,1.0,1.0,0.3333333333333333
logical_fallacies_1,anchored,logical_fallacies,1.0,1.0,1.0,0.4166666666666667
logical_fallacies_2,anchored,logical_fallacies,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4166666666666667
logical_fallacies_3,anchored,logical_fallacies,1.0,1.0,1.0,0.4166666666666667
logical_fallacies_4,anchored,logical_fallacies,0.5,0.5,0.5,0.5
logical_fallacies_5,anchored,logical_fallacies,1.0,1.0,1.0,0.6666666666666666
logical_fallacies_6,anchored,logical_fallacies,1.0,1.0,1.0,0.4166666666666667
logical_fallacies_7,anchored,logical_fallacies,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5833333333333334
formal_logic_0,anchored,formal_logic,0.16666666666666666,0.0,0.16666666666666666,0.25
formal_logic_1,anchored,formal_logic,1.0,1.0,1.0,0.5
formal_logic_2,anchored,formal_logic,0.75,0.75,0.75,0.4166666666666667
formal_logic_3,anchored,formal_logic,0.4166666666666667,0.0,0.4166666666666667,0.25
formal_logic_4,anchored,formal_logic,0.75,0.25,0.75,0.5
formal_logic_5,anchored,formal_logic,0.5,0.5,0.5,0.5
formal_logic_6,anchored,formal_logic,0.5,0.0,0.5,0.5
formal_logic_7,anchored,formal_logic,1.0,0.0,1.0,0.4166666666666667
high_school_mathematics_0,anchored,high_school_mathematics,0.8333333333333334,0.0,0.8333333333333334,0.5
high_school_mathematics_1,anchored,high_school_mathematics,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333
high_school_mathematics_2,anchored,high_school_mathematics,0.0,0.0,0.0,0.0
high_school_mathematics_3,anchored,high_school_mathematics,0.0,0.0,0.0,0.0
high_school_mathematics_4,anchored,high_school_mathematics,0.0,0.0,0.0,0.0
high_school_mathematics_5,anchored,high_school_mathematics,1.0,1.0,1.0,0.4166666666666667
high_school_mathematics_6,anchored,high_school_mathematics,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
high_school_mathematics_7,anchored,high_school_mathematics,0.0,0.0,0.0,0.0
