question_id,subject,question,gold_letter,gold_content,canonical_accuracy,stability_score,permutation_entropy,answer_invariance_score,raw_bias_fraction,gold_share,candidate_entropy,candidate_margin,candidate_target_prob,prompt_target_margin,prompt_target_prob,n_permutations
abstract_algebra_0,abstract_algebra,"Statement 1 | If a group has an element of order 10, then it has elements of orders 1, 2, and 5. Statement 2 | If a group has an element of order 2 and an element of order 3, then it has an element of order 6.",C,"True, False",0.3333333333333333,0.43103448275862066,1.5857915258848292,0.2071042370575854,0.43103448275862066,0.41379310344827586,1.5289314000273726,-1.4246845775180392,0.15303567222247402,-9.5625,9.246420866778256e-05,72
abstract_algebra_1,abstract_algebra,"Statement 1 | If G, H and K are groups of order 4, at least two of them are isomorphic. Statement 2 | If Z_r + Z_s is isomorphic to a subgroup Z_m + Z_n, then r divides m and s divides n.",C,"True, False",0.19444444444444445,0.3783783783783784,1.9085914647609257,0.045704267619537164,0.3783783783783784,0.3783783783783784,1.5460258220946583,-1.5250147183736165,0.13597361008452416,-9.436631944444445,9.887621384526331e-05,72
abstract_algebra_2,abstract_algebra,"(Z,*) is a group with a*b = a+b+1 for all a, b in Z. The inverse of a is",D,(2+a)*-1,0.3472222222222222,0.3472222222222222,1.8744155224237233,0.06279223878813833,0.3472222222222222,0.3472222222222222,1.7948561135967058,-1.117781639099121,0.14946582070762016,-8.024739583333334,0.000713563712300432,72
abstract_algebra_3,abstract_algebra,"Statement 1 | For any two groups G and G', there exists a homomorphism of G into G'. Statement 2 | Every homomorphism is a one-to-one map.",C,"True, False",0.375,0.5625,0.9886994082884974,0.5056502958557513,0.5625,0.5625,1.5779479160432868,-1.4085333612230089,0.14922299018897942,-9.487847222222221,9.385063132564635e-05,72
abstract_algebra_4,abstract_algebra,"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function f must necessarily be injective. Statement 2 | The function f must necessarily be surjective.",C,"True, False",0.375,0.84375,0.7380636700495734,0.6309681649752132,0.84375,0.84375,1.6784848717911511,-0.9141881201002333,0.21824806343472256,-8.766493055555555,0.0002906777717220797,72
abstract_algebra_5,abstract_algebra,Statement 1 | Every permutation is a cycle. Statement 2 | Every cycle is a permutation.,D,"False, True",0.2222222222222222,0.4722222222222222,1.7743206735695558,0.1128396632152221,0.4722222222222222,0.2222222222222222,1.527530077443782,-1.7794468137953017,0.10686439633380525,-9.22265625,0.0001249476022672348,72
abstract_algebra_6,abstract_algebra,"Statement 1 | Any set of two vectors in R^2 is linearly independent. Statement 2 | If V = span(v1, ... , vk) and {v1, ... , vk} are linearly independent, then dim(V) = k.",D,"False, True",0.5,0.5070422535211268,1.6921230196906194,0.1539384901546903,0.5070422535211268,0.5070422535211268,1.6120420559612592,-1.6422998110453289,0.11586895509354028,-9.496527777777779,0.00011936456000209243,72
abstract_algebra_7,abstract_algebra,Statement 1 | The external direct product of cyclic groups is cyclic. Statement 2 | The external direct product of D_3 and D_4 is isomorphic to D_12.,B,"False, False",0.041666666666666664,0.7037037037037037,1.2973790202004958,0.3513104898997521,0.7037037037037037,0.05555555555555555,1.6462453118324993,-1.5444226794772677,0.12436310225278735,-9.45529513888889,9.959635619654566e-05,72
college_mathematics_0,college_mathematics,"If the finite group G contains a subgroup of order seven but no element (other than the identity) is its own inverse, then the order of G could be",C,35,0.7222222222222222,0.7222222222222222,1.2887803437757752,0.3556098281121124,0.7222222222222222,0.7222222222222222,1.7255140565407308,-1.334406057993571,0.13295221353809245,-8.25998263888889,0.00048096541852121137,72
college_mathematics_1,college_mathematics,What is the area of an equilateral triangle whose inscribed circle has radius 2?,C,12*sqrt(3),0.0,0.0,,,0.0,0.0,1.7109182183361027,-1.3245895703633626,0.13381306452191571,-8.405381944444445,0.00037938736603690713,72
